prediction,post_at_sast
Chelsea v Hull City - Chelsea to win - less than 4 goals,09/12/2026 - 12:00
Liverpool v Fulham - Liverpool to win - more than 2 goals,09/12/2026 - 12:00
Bournemouth v Brentford - Bournemouth or draw - less than 4 goals,09/12/2026 - 12:00
Crystal Palace v Ipswich - Crystal Palace to win - more than 2 goals,09/12/2026 - 12:00
Aston Villa v Nottingham Forest - Aston Villa or draw - less than 3 goals,09/12/2026 - 12:00
Tottenham v Everton - Tottenham or draw - less than 3 goals,09/12/2026 - 14:30
Sunderland v Arsenal - Arsenal to win - both teams not to score,09/12/2026 - 17:00
Coventry City v Brighton - Brighton to win - less than 3 goals,09/13/2026 - 11:00
Manchester United v Manchester City - Manchester City or draw - less than 4 goals,09/13/2026 - 13:30
Leeds v Newcastle United - Leeds or draw - both teams to score,09/14/2026 - 17:00
Brentford v Chelsea - Brentford or draw - less than 4 goals,09/18/2026 - 17:00
Tottenham v Aston Villa - Tottenham or draw - both teams to score,09/19/2026 - 09:30
Brighton v Arsenal - Arsenal to win - both teams to score,09/19/2026 - 12:00
Newcastle United v Hull City - Newcastle United to win - more than 2 goals,09/19/2026 - 12:00
Everton v Ipswich - Everton to win - more than 2 goals,09/19/2026 - 12:00
Nottingham Forest v Coventry City - Nottingham Forest to win - less than 3 goals,09/19/2026 - 14:30
Manchester City v Sunderland - Manchester City to win - less than 4 goals,09/20/2026 - 11:00
Leeds v Crystal Palace - Leeds or draw - both teams to score,09/20/2026 - 11:00
Bournemouth v Liverpool - Liverpool or draw - less than 4 goals,09/20/2026 - 11:00
Fulham v Manchester United - Manchester United or draw - both teams to score,09/20/2026 - 13:30
